,Entity,Access to electricity (% of population),Access to clean fuels for cooking,Renewable energy share in the total final energy consumption (%),Electricity from fossil fuels (TWh),Electricity from nuclear (TWh),Electricity from renewables (TWh),Low-carbon electricity (% electricity),Primary energy consumption per capita (kWh/person),Energy intensity level of primary energy (MJ/$2017 PPP GDP),Value_co2_emissions_kt_by_country,gdp_growth,gdp_per_capita,Predicted_V
724,China,0.789220040809162,0.5330981053923451,0.2258263568461672,27.458968688162035,3.209185294597541,20.958117346054934,0.3429584514771113,0.490551890931896,1.0192329187335414,31.5705167472874,1.5289691822033835,0.1982016987342325,29.822159461856018
3512,United States,0.791594825285017,0.9588095420725632,0.1370430746276904,23.79605574364067,34.64966894810514,11.312980557813525,0.4991967502031604,1.8982763285139104,0.6300297549170378,20.086525453904468,0.3685565609521015,2.111036778162181,22.114193968949806
178,Australia,0.791594825285017,0.9588095420725632,0.1503053076561765,1.7542686515906885,0.0,0.5631437975560679,0.1508286422089257,1.559726383225802,0.6083439481354732,1.4436523815207738,0.3122862666122193,2.2687684822747616,1.7671800081332163
493,Brazil,0.7805124977310267,0.9012809695482096,0.8622293445325523,0.5037434029179474,0.5912561079289289,11.61973801687033,1.4684524639710608,0.3692175032597805,0.4394229268896007,1.4823568381066885,1.0822268535840882,0.4915814970890314,1.3292531464560913
619,Canada,0.791594825285017,0.9588095420725632,0.4030245259212185,1.0738600762301966,3.67248619543655,9.760004264221848,1.294830276669835,2.514858069486571,0.8172125081894912,2.0004535339433582,0.444133069676679,2.0716367156035957,1.2622746814070611
1207,France,0.791594825285017,0.9588095420725632,0.2208530194604849,0.4757576583113947,18.39978702757477,2.0436283197633363,1.4969215105858775,1.092710233664461,0.4588260171678427,1.2955395894638626,0.2802431536994224,1.7700626485131206,1.2661223775455042
1292,Germany,0.791594825285017,0.9588095420725632,0.2138535075843395,3.1279641980598205,6.035363727704448,2.803192836107299,0.6560833265086997,1.0767653687730123,0.4108889705980682,2.8798171353730746,0.60088275705387,1.808984669172064,2.697415843136213
1544,India,0.6039868516924679,0.3394185778936874,0.6660588143195275,6.371338634939583,0.9910087851125402,3.800754234239037,0.2947486829929585,0.1145777537350662,0.6094853063871345,6.183707485271953,1.2215779092493928,0.0591306910422459,5.233549038977362
1565,Indonesia,0.7452865280058436,0.3959883408759687,0.6411921273911161,1.1795289644201294,0.0,0.922937515824261,0.3253438559321955,0.162105382844429,0.4805118239494075,1.5478825631736954,0.8947157391805276,0.1359991128718514,1.2528552673168063
1649,Italy,0.791594825285017,0.9588095420725632,0.2355888339365806,1.8238615209220272,0.0,2.0516237357248515,0.4309290669506955,0.7749547357491959,0.3287111764784545,1.5096995715185566,0.2462963797746802,1.568055768019117,1.6007995347458384
